Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
Bougetz Cellars,,,www.bougetzcellars.com,,,,,,,,,,,,,,
Bounty Hunter,975 First Street,Napa,www.bountyhunterwine.com,252-5454,X,No,,,"Pursuit, Broken Spur, Waypoint, Tin Star, Justice",,,,,,,,
Bourassa Winery,190 Camino Oruga Ste. 5,Napa,www.bourassavineyards.com,800 499-2366,X,Yes,,,Also TR at Napa Smith Brewery,,,,,,,,
Boyanci Wines,135 Camino Dorado Suite 12,Napa,www.boyanciwine.com,255-7800,,Private,,,Inspire Wines,,,,,,,,
Boyd Family Vineyards,4042 Big Ranch Road,Napa,www.boydwine.com,254-7353,X,Yes,,,,,,,,,,,
Brand Napa Valley,Long Ranch Road,St. Helena,www.brandnapavalley.com,,,Private,,,,,,,,,,,
Bravante Vineyards,330 Stone Ridge Road,Angwin,www.bravantevineyards.com,972-1114,X,Yes,Yes,,,,,,,,,,
Breckenridge Wine Co,P.O. Box 123,St. Helena,www.breckenridgewines.com,963-7761,,Private,,,,,,,,,,,
Bremer Family,975 Deer Park Road ,St. Helena,www.bremerfamilywinery.com,963-5411,X,Yes,Yes,,,,,,,,,,
Bressler Vineyards,1891 Vallejo Street,St. Helena,www.bresslervineyards.com,963-2903,,Private,,,50/50 Napa Sonoma,,,,,,,,
Brian Arden,,,www.brianardenwines.com,,,,,,"Winery under construction, Calistoga",,,,,,,,
Brick Angel,238 Manzanita Lane,Napa,http://brickangel.googlepages.com,966-2822,X,Private,,,,,,,,,,,
Bridesmade Wines,P.O. Box 812,Rutherford,www.bridesmaidwines.com,963-2705,X,,,,NAPA WINE CO,,,,,,,,
Broman Cellars,945 Deer Park Road,St. Helena,www.bromancellars.com,800 514-4401,X,,,,,,,,,,,,
Brookdale Vineyards,4006 Silverado Trail,Napa,www.brookdalewine.com,258-1454,X,Private,,,SILENUS,,,,,,,,
Brookman Cellars,P.O. Box 1021,St. Helena,www.brookmancellars.com,266-8525,,Private,,,,,,,,,,,
Brown Estate,3233 Sage Canyon Road,St. Helena,www.brownestate.com,963-2435,X,Private,Yes,,MA(I)SONRY,,,,,,,,
Bryant Family,1567 Sage Canyon Road,St. Helena,www.bryantwines.com,963-0483,,Private,,,,,,,,,,,
Buccella,P.O. Box 3838,Oakville,www.buccellawines.com,944-1000,X,Private,,,Mica Label,,,,,,,,
Buehler Vineyards,820 Greenfield Road ,St. Helena,www.buehlervineyards.com,963-2155 ,X,Yes,,,,,,,,,,,
Bunter Spring,,,www.bunterspringwinery.com,,,,,,,,,,,,,,
Buoncristiani Family,P.O. Box 6946,Napa,www.buonwine.com,259-1681,X,Yes,,,"Gemella, Taste at Vintner's Collective",,,,,,,,
Burgess Cellars,1108 Deer Park Road ,St. Helena,www.burgesscellars.com,963-4766,X,Yes,,,,,,,,,,,
Burly Cellars,4446 Stillson St,Napa,www.burlywine.com,299-7085,X,Private,,,,,,,,,,,
Ca' Momi Wines,2515 Napa Valley Corp. Dr,Napa,www.camomiwines.com,252-6664,X,No,,,Enoteca in Oxbow Market,,,,,,,,
C Beck Wine,1136 Edwards Street,St. Helena,www.cbeckwines.com,967-9776,,Private,,,,,,,,,,,
Cabaud Wines,,,www.cabaudwines.com,,,,,,,,,,,,,,
Cade Mountain Winery,360 Howell Mountain Road,Angwin,www.cadewinery.com ,945-1220,X,Yes,Yes,,Owned by Plumpjack,,,,,,,,
Cafaro Cellars,Winery Address N/A,St. Helena,www.cafaro.com,963-7181,X,Yes,,,,,,,,,,,
Cain,3800 Langtry Road ,St. Helena,www.cainfive.com,963-1616,X,Yes,,BApp,,,,,,,,,
Cairdean Vineyards,,,www.cairdeanvineyards.com,,,,,,,,,,,,,,
Cakebread,8300 St. Helena Highway ,Rutherford,www.cakebread.com,963-5222,X,Yes,,BApp,,,,,,,,,
Calafia Cellars,629 Fulton Lane,St. Helena,www.calafiacellars.com,963-0114,X,Yes,,,,,,,,,,,
Calder Wine,,,www.calderwine.com,,,,,,,,,,,,,,
Caldwell Cave Winery,270 Kruezer Lane,Napa,www.caldwellvineyard.com,255-1294,X,Yes,Yes,,,,,,,,,,
Cali 351,Silverado Trail,Calistoga,www.cali351.com,631-5161,X,No,,BApp,,,,,,,,,
Calistoga Cellars,Main Street,St. Helena,www.calistogacellars.com,942-7422,X,No,,BApp,# wine from Napa anymore???,,,,,,,,
Calistoga Estate Vineyards,1190 Silverado Trail,Calistoga,www.calistogaestate.com,,,Private,,,"# wine made at Adler Fels, Sonoma ?",,,,,,,,
Canard Vineyard,1016 Dunaweal Lane,Calistoga,www.canardvineyard.com,942-1149,X,Yes,,,,,,,,,,,
Capp Heritage Vineyards,,,,,,,,,TR Napa?,,,,,,,,
Cardinale Estate,7600 St. Helena Highway ,Oakville,www.cardinale.com ,948-2643 ,X,Yes,,Yes,"KJ owned - Ropert Pepi, La Jota, FA",,,,,,,,
Carneros Della Notte,720 Airpark Road,Napa,www.carnerosdellanotte.com,495-2464,,Private,,,Use contact email on site,,,,,,,,
Carneros Wine Co,708 1st Street,Napa,www.carneroswinecompany.com,253-9463,X,No,,BApp,"Mahoney, etc",,,,,,,,
Carrefour Vineyards,1180 Monticello Road,Napa,www.carrefourvineyards.com,252-9167,X,Private,,,A DOZEN VINTNERS,,,,,,,,
Carte Blanch,,,www.carteblanchewine.com,,,,,,,,,,,,,,
Carter Cellars,1170 Tubbs Lane,Calistoga,www.cartercellars.com,445-0311,X,No,,,"Made at Envy, Carter House, Eureka",,,,,,,,
Carver Sutro,3106 Palisades Ave,Calistoga,www.carversutro.com,942-1029,X,Private,,,,,,,,,,,
Casa Carneros,1159 Bayview Ave,Napa,www.casacarneros.com,257-8713,,Private,,,Still producing wines?,,,,,,,,
Casa Nuestra,3451 Silverado Trail ,St. Helena,www.casanuestra.com,963-5472 ,X,Yes,,,,,,,,,,,
Casa Piena,1185 State Lane,Yountville,www.casapiena.com,,X,Private,,,,,,,,,,,
Casey Flat Ranch,,,www.caseyflatranch.com,,,,,,,,,,,,,,
Caspar Estate,1780 Whitehall Lane,Rutherford,www.casparestate.com,967-8400,X,Private,,,Cultivar Wine,,,,,,,,
Castello di Amorosa,4045 North St Helena Hwy ,Calistoga,www.castellodiamorosa.com,942-8200,X,No,,,,,,,,,,,
Castleman Cellars,,,www.castlemancellars.com,266-7700,,Private,,,Wine made in Sonoma County?,,,,,,,,
Cabaud Wines,,,www.cabaudwines.com,,,,,,,,,,,,,,
Cavus Vineyards,100 Swan Way Ste. 206,Oakland,www.cavusvineyards.com,510 430-9701,X,Private,,,,,,,,,,,
Caymus Vineyards,8700 Conn Creek Road,Rutherford,www.caymus.com,967-3010,X,Yes,,,,,,,,,,,
Cederquist Wine Co,1812 Michael Way,Calistoga,www.cederquistwineco.com,293-4014,X,Private,,,,,,,,,,,
Ceja Estate,1016 Las Amigas Road ,Napa,www.cejavineyards.com,255-3954,X,Yes,,,,,,,,,,,
Celani Family Vineyards,2230 Big Ranch Road,Napa,www.cfvineyards.com,877 273-6731,X,Private,,,,,,,,,,,
Chaix Wines,,,www.chaixwines.com,,,,,,,,,,,,,,
Chanticleer,4 Vineyard View Drive,Yountville,www.chanticleerwine.com,945-0566,X,Private,,,,,,,,,,,
Chappellet,1581 Sage Canyon Road,St. Helena,www.chappellet.com,963-7136,X,Yes,,BApp,,,,,,,,,
Charity Case Foundation,3750 Silverado Trail,Napa,www.charitycase.org,738-5155,X,Private,,,,,,,,,,,
Charles Krug,2800 Main Street,St. Helena,www.charleskrug.com,967-2200,X,No,,,Aloft Wine www.aloftwine.com,,,,,,,,
Charnu Winery,P.O. Box 852,St. Helena,www.charnuwinery.com,963-6045,X,Private,,,Cave Tasting,,,,,,,,
Charter Oak Winery,1636 Scott Street,St. Helena,www.charteroakwine.com,963-2298,X,Yes,,,,,,,,,,,
Chase Family Cellars,2252 Sulphur Springs,St. Helena,www.chasecellars.com,963-1284,X,Yes,,,,,,,,,,,
Chateau Boswell,3468 Silverado Trail,St. Helena,www.chateauboswellwinery.com,963-5472 ,X,Yes,Yes,BApp,Jacquelynn Label,,,,,,,,
Chateau de Vie,3250 Highway 128,Calistoga,www.cdvnapavalley.com/boutique.htm,877 558-2513,,Private,,,,,,,,,,,
Chateau Montelena,1429 Tubbs Lane ,Calistoga,www.montelena.com,942-5105,X,No,Yes,BApp,,,,,,,,,
Checkerboard Vineyards,4325 Azalea Springs Way,Calistoga,www.checkerboardvineyards.com,942-8512,,Private,,,,,,,,,,,
Chercher Trouver Wines,223 Old Vine Way,Napa,www.trouverwines.com,226-1908,,Private,,,,,,,,,,,
Chiarello Family,1241 Adams Street #145,St. Helena,www.chiarellovineyards.com,256-0750,X,Private,,,Taste at NAPA STYLE store,,,,,,,,
Chimney Rock,5350 Silverado Trail ,Napa,www.chimneyrock.com,257-2641x3206,X,No,,,,,,,,,,,
Chinnock Cellars,4336 Summerfield Drive,Napa,www.chinnockcellars.com,259-1628,,Private,,,Login/Pwd needed after main pg 4/10/13,,,,,,,,
Cimarossa,P.O. Box 573,Angwin,www.cimarossa.com,510 665-4608,X,Private,,,,,,,,,,,
Clark-Claudon,P.O. Box 15,St. Helena,www.clarkclaudon.com,965-9393,X,,,,VINTNER'S COLLECTIVE,,,,,,,,
Clif Bar Family Winery,1030 Main Street Suite 300,St. Helena,www.cliffamilywinery.com,968-0625,X,Private,,,"VeloVino TR, St Helena",,,,,,,,
Cliff Lede,1473 Yountville Cross Road ,Yountville,www.cliffledevineyards.com,944-8642 ,X,No,,,,,,,,,,,
Clos Du Val,5330 Silverado Trail  ,Napa,www.closduval.com,261-5200,X,No,,BApp,,,,,,,,,
Clos Pegase,1060 Dunaweal Lane ,Calistoga,www.clospegase.com,942-4981x213,X,No,Yes,Yes,,,,,,,,,
Clos Valmi,7148 Silverado Trail,Napa,None,944-8042,X,Private,,,,,,,,,,,
Cobblestone Wines,150 Cotner Ave,LA,www.cobblestonewine.com,259-1110,X,Private,,,25 acres in Atlas Peak,,,,,,,,
Cockerell Wines,P.O. Box 493,Calistoga,www.coquerelwines.com,942-4534,X,Private,,,New winery in Calistoga permitted,,,,,,,,
COHO,P.O. Box 5726,Napa,www.cohowines.com,258-2566,X,Private,,,,,,,,,,,
Colgin Cellars,P.O. Box 254,St. Helena,www.colgincellars.com,963-0999,,No,,,,,,,,,,,
Coniglio Wines,543 Mund Road,St. Helena,www.conigliowines.com,888 726-6796,,Private,,,,,,,,,,,
Conn Creek/Villa Mt. Eden,8711 Silverado Trail ,St. Helena,www.conncreek.com,963-9100,X,No,,Yes,,,,,,,,,
Constant Diamond Mountain,2121 Diamond Mountain Rd,Calistoga,www.constantwine.com,942-0707,X,Yes,Yes,BApp,,,,,,,,,
Contessa de Carneros,,,www.contessadecarneros.com,,,,,,Makes wine in Napa or Sonoma?,,,,,,,,
Continuum,P.O. Box 112,Oakville,www.continuumwine.com,944-8100,X,Private,,,Tim Mondavi,,,,,,,,
Cook Family Winery,264 Crystal Springs Road,St. Helena,www.cookwinery.com,963-7760,X,Private,,,,,,,,,,,
Corison,987 St. Helena Highway,St. Helena,www.corison.com,963-0826,X,Yes,,BApp,,,,,,,,,
Cornerstone Cellars,P.O. Box 10767,Napa,www.cornerstonecellars.com,877 686 3286 ,X,Private,,,,,,,,,,,
Corra,1241 Adams St. #1024,St. Helena,www.corrawines.com,963-4523,X,Private,,,Celia W's own label,,,,,,,,
Corte Riva,3065 Muledeer Lane,Santa Rosa,www.corteriva.com,573-1801,X,,,,Wine made at Pride,,,,,,,,
Corvalle,,St. Helena,www.corvalle.com,,X,Private,,,,,,,,,,,
Cosentino,7415 St. Helena Highway ,Yountville,www.cosentinowinery.com,944-1220 ,X,No,,,,,,,,,,,
Cosmos Cellars,P.O. Box 61,Laguna Bch,www.cosmoscellars.com,949 494-9463,,Private,,,Orpheus III,,,,,,,,
Coupe de Foudre,135 Camino Dorado,Napa,www.coupdefoudrewine.com,235-8300,,Private,,,50/50 Napa St Lucia Highlands,,,,,,,,
Courtesan Wines,P.O. Box 30,Rutherford,www.courtesanwines.com,415 713-5331,,Private,,,,,,,,,,,
Covenant Wines,930 N. Crane Ave,St. Helena,www.covenantwines.com,963-3887,X,Private,,,,,,,,,,,
Crane Brothers,1460 Pine Street,Napa,www.cranebrotherssyrah.com,257-7217,X,Private,,,,,,,,,,,
Crane Family,1051 Borrett Lane,Napa,www.cranefamilyvineyards.com,259-0175,X,Private,,,,,,,,,,,
Crazy Flower Wines,1067 Sunset Rd,Napa,www.crazyflowerwines.com,252-6103,X,Private,,,,,,,,,,,
Crocker & Starr,P.O. Box 987,St. Helena,www.crockerstarr.com,967-9111,X,Private,,,NAPA WINE CO (Bridesmaid),,,,,,,,
Crosby Roamann,1832 Soscal Ave Suite 115,Napa,www.crosbyroamann.com,266-6291,,Yes,,,,,,,,,,,
Croze (Smith Wooton Label),P.O. Box 2679,Yountville,www.croze-cab.com,944-9247,X,,,,Avatar,,,,,,,,
Culler Wines,P.O. Box 3017,Yountville,www.cullerwines.com,257-0567,X,Private,,,Casaedawines.com,,,,,,,,
Cuvaison Napa,1221 Duhig Road ,Napa,www.cuvaison.com,255-7321,X,Yes,,,,,,,,,,,
Cuvaison St. Helena,4550 Silverado Trail N,St. Helena,www.cuvaison.com,942-2468,X,No,Yes,BApp,brandlinvineyard.com,,,,,,,,
Cyrus Creek,P.O. Box 576,Calistoga,www.cyruscreek.com,415 282-8385,,Private,,,,,,,,,,,
D'Anneo Vineyard,1085 Dunaweal Lane,Calistoga,www.danneowine.com,916 534-9684,X,Private,,,Website gone 4.10.13,,,,,,,,
D Cubed,P.O. Box 771,Angwin,www.dcubedcellars.com,963-5212,X,,,,VINTNER'S COLLECTIVE,,,,,,,,
D.R. Stephens Estate,1860 Howell Mountain Rd,St. Helena,www.drstephenswines.com,963-2908,X,Yes,,,,,,,,,,,
Dakota Shy,,,www.dakotashywine.com,,,,,,,,,,,,,,
Dalla Valle,7776 Silverado Trail,Napa,www.dallavallevineyards.com,944-2676,,Private,,,,,,,,,,,
Dana Estates,P.O. Box 153,Rutherford,www.danaestates.com,963-4365,X,Private,,,,,,,,,,,
Dancing Hares Vineyard,P.O. Box 853,St. Helena,www.dancinghares.com,967-8296,X,Private,,,,,,,,,,,
Dark Matter Wines,,St. Helena,www.darkmatterwines.com,,,,,,,,,,,,,,
Darioush,4240 Silverado Trail ,Napa,www.darioush.com,257-2345,X,Yes,,,"Owns Sage Vineyards, Duel Wine",,,,,,,,
Darms Lane Wine,1150 Darms Lane,Napa,www.darmslanewine.com,224-4218,X,Private,,,old Crichton Hall Vineyard,,,,,,,,
